Item,Qty,Reference(s),Value,Mouser
1,23,"C1, C2, C3, C4, C5, C6, C7, C8, C11, C13, C14, C15, C16, C17, C18, C23, C24, C25, C26, C27, C28, C30, C31",0.1uF,594-K104K15X7RF5TH5
2,1,C9,0.1uF,594-K104K15X7RF5TH5
3,3,"C10, C12, C29",6.8uF,667-ECA-1HM100I
4,4,"C19, C20, C21, C22",0.02uF,81-RDE7U3A203JUE1H3A
5,1,J1,PC VIDEO IN,523-G17C0900132EU
6,1,J2,MONITOR OUT,523-G17C0900132EU
7,1,J3,COMP,502-3517PCX
8,1,J4,PADDLES,517-4816-3004-CP
9,1,J5,TO SPEAKER,538-22-28-6043
10,1,J6,FROM MOTHERBOARD,538-22-28-6043
11,1,J7,PC_CTLR,571-5103308-7
12,2,"JP1, JP2",OPEN,
13,1,JP3,SHORT,
14,1,JP4,SHORT,
15,1,JP5,OPEN,
16,1,JP6,VPB,
17,1,P1,Conn_ISA_8bit,
18,1,P2,EDGE_TO_DRIVES,
19,1,P3,TO_DRIVES,571-5103308-7
20,1,Q1,2N3904,610-2N3904
21,1,R1,33,603-CFR-25JR-5233R
22,1,R2,470,603-CFR-25JR-52470R
23,2,"R3, R15",3.3K,603-CFR-25JR-523K3
24,5,"R4, R5, R6, R7, R12",100,603-CFR-25JR-52100R
25,4,"R8, R9, R10, R11",10K,603-CFR-25JR-5210K
26,2,"R13, R17",2.2K,603-CFR-25JR-522K2
27,1,R14,5.6K,603-CFR-25JR-525K6
28,1,R16,10K,603-CFR-25JR-5210K
29,1,R18,51,603-CFR-25JR-5251R
30,8,"U1, U2, U3, U4, U20, U21, U22, U23",TMS4164,
31,2,"U5, U24",TMS4416,
32,2,"U6, U54",74LS273,595-SN74LS273N
33,3,"U7, U33, U50",PAL16R8,556-AF16V8CZ15PU
34,6,"U8, U27, U30, U34, U49, U51",PAL16L8,556-AF16V8CZ15PU
35,5,"U9, U10, U28, U29, U38",74LS161,595-SN74LS161AN
36,1,U11,27C32,
37,1,U12,74LS298,595-SN74LS298N
38,1,U13,74LS166,595-SN74LS166AN
39,1,U14,74LS367,595-SN74LS367AN
40,2,"U15, U43",74LS02,595-SN74LS02N
41,1,U16,74LS32,595-SN74LS32N
42,2,"U17, U35",74LS259,595-SN74LS259BN
43,1,U18,74LS251,595-SN74LS251N
44,1,U19,NE558,
45,1,U25,74LS373,595-SN74LS373N
46,1,U26,74LS245,595-SN74LS245N
47,2,"U31, U39",74LS109,595-SN74LS109AN
48,1,U32,74LS74,595-SN74LS74AN
49,6,"U36, U37, U46, U47, U55, U56",74LS257,595-SN74LS257BN
50,1,U40,PAL16R4,556-AF16V8CZ15PU
51,1,U41,74LS38,595-SN74LS38N
52,2,"U42, U45",74LS194,595-SN74LS194AN
53,1,U44,74LS04,595-SN74LS04N
54,1,U48,6502 (NMOS),955-W65C02S6TPG-14
55,2,"U52, U53",74LS374,595-SN74LS374N
